user_id,message
70IU,"I’m not satiesfy , thak you for free try , my child get so boored when using your app , thank you very much for yoor services . Regards , \nKhadija "
28EW,We no longer need a math program. This was used as a substitute over the summer.
83EB,No longer need a math program. My daughter used this just to maintain skills over the summer. Now that she is back in school she is doing this wok in school and homework in the afternoon.
29FO,I just want to try this App. But I forgot it one week free. So when I found it charged my credit card. I am surprised and hope cancel it as soon as possible. We do not need it really.
98NS,I found another math game more suitable to my kids
32BW,I found another math game more suitable to my kids.\n
78ZD,I don't like it because it is very boring and not interesting enough so my child does not like it.\n
89CN,The subscription price is too high.
95EL,.
59QX,I think kids have no time to do every day  and its just like extra practice may be summer is good 
91XQ,We are currently not using this app.   We would like to cancel this subscription 
61SX,"Too expensive  and boring. Not cool at all, stupid ! "
36FR,Don't use it enough to pay $10 a month for it\nDon't use it enough to pay $10 a month for it\nDon't use it enough to pay $10 a month for it\nDon't use it enough to pay $10 a month for it\nDon't use it enough to pay $10 a month for it\nDon't use it enough to pay $10 a month for it\nDon't use it enough to pay $10 a month for it\n
73DD,Not using app as often as expected. Will look into it at another time
39DB,This game needs more word problems for first grade
75QM,There is nothing wrong with this game it just needs more word problems 
32XB,Your game needs more word problems . Otherwise it is a great game.
88IF,There isnt enough word probelms for my first grader
77AO,There needs to be more word problems for first grade
38NN,The subscription price is too high.
81PX,Shes not interested any longer. Shes got homeschooling starting and thats our focus.
56SK,Error.        Vgv.      Cvvbbhbujdjjdjrhehhshejejmfjfjjehdhdjdjdjfjfjfjdkdkdjd
67JC,It's too expensive. Nice game but missing verity for me.
17ZC,Too expensive! My kid likes the games but we dont use it enough to justify the price. 
66MX,The subscription price is too high.
43HI,The subscription price is too high.
43IC,Do not use app enough for price of subscription which is a bit high priced.\n\n\n\n\n\n\n\n
97CC,Without the full version difficult to access all the activities
55PV,"She needs flash cards instead, she gets tested a lot in speed math at school "
84BF,Kid is ready to try something different for awhile. She may come back to Splash Math\n
47PX,Already purchased through a different account. Thanks
81EY,My kids already have splash math through their mothers account
87NH,I tried twice yesterday.... it won't let me cancel... why not?
62ZM,Omg it's impossible to cancel this crap!! I don't want to pay for this...
58JN,I can't afford any paid products right now.
83WL,Its pretty complicated. We just needed math problems
19MD,Not interested                                                                                        \n
80OQ,Don’t use it: Downloaded as a trial only and I’m extremely annoyed that you charged me for a full subscription-I sent in a complaint and requested a refund many on this ago; but I never heard back from anyone;\n                                               
78JY,"Cost cost cost cost, why do I need to provide a minimum of 50 characters? Just cancel please..."
94QF,I did not want to pay this much for math flash cards!
62WR,The subscription price is too high.
98DP,I can't afford any paid products right now.
99LG,Doesn't want it so I'm getting rid of it and not just paying for something for no reason
12PP,The emails are very annoying. Child does not like the app. Too baby\n
24XL,"My son was needing a little help with division. He used this a bit, but doesn't need an app anymore. "
11LF,No longer use the app. Do not want to pay subscription
38ZB, Cancel cancel cancel cancel cancel cancel cancel cancel
84OW,No longer us the math app. Need to cancel subscription
82YJ,My child no longer uses Splash Math.
10LE,The subscription price is too high.
28NM,Price is too high....…………. And requiring 50 characters as an explanation is over the top.\n\n
19BH,I wanted an app that would let me choose which math facts to practice.
92SE,My child no longer uses Splash Math.
31AB,We use the apps recommended by his school and they are free of charge. 
61UC,Use recommended school app that are free of charge. 
19YT,"Child is too young, not interested. The app is good, just not right for a preschooler."
73WS,"My child isnt using.  Too expensive for an app.  I would be willing to pay a 1-time fee but not a monthly fee. Sorry. Please cancel my subscription.\nThank you,\nMerrily sparks"
86CD,Daughter isn't interested in using this anymore. Please cancel our subscription.
83GH,My child hates the app.
77MP,My child no longer uses Splash Math.
22DW,I can’t afford it and he is not learning on this game he bareley use it
46ZS,Not needed fir nkw. Practicing mkre with flash cards and getting bettrr. 
27KI,i don't want to use it any more mmmmmmmmmmmmmmmmmmmmmmmmmmmm
22TR,not using\nbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
57BE,Not needed at this time. I liked the variety of math activities available at each level.
