id,Tag,message
37XR,No Engagement,Trial finished and found my child didn’t utilise much to warrant payment.\n\n\n
26FZ,No Engagement,We fid not get tge chance to use it like we thought we would.
21HX,Ignore,do not want!!!'!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\n\n
15AT,Budget Sensitive,Too much money to pay monthly.........................
55NP,Trial,Just wanted wanted to try the subscription. We did enjoy it though.
75XR,Content,Im sorry we dont want tonuse this app. My son doesnt like it much.
64YA,Short Term,"No longer need now that summer is over, did not enjoy app"
65OL,Ignore,Allow transfer to other device. I will be downloading for ipad\n
28NZ,No Engagement,Not using aaaaaaaaaaa\nAaahdudhxiduxuxbdhdhdhhd\nDhhdididkdjdndjdjdjdj
83AA,Content,To easy for son  he needs to be more challenged so I found a different app.
32AY,Budget Sensitive,To mutch moneyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
60PP,No Engagement,My son doesnt use...................................................................          ............
49XR,No Need,Child no longer using application. Moved to Texas.
40VZ,Budget Sensitive,The subscription for this application is too expensive
53PJ,Budget Sensitive,Cancelling due to charges of $30 after free trial. But I like the contents of the course. It was helpful. Thanks !
39BP,Ignore,Sfgstvsthethethdthetbstber ether sthstbsthdtbetbetbdtb
38BX,School Free App,Dont need it. She now uses other ways to prsctice at school. Hhhhhhhhv vhgb njbjbjbbjbbggh
48FV,Budget Sensitive,Too expensive and need a little more variety to charge so much.
81WH,Budget Sensitive,To much money. I cannot afford it. Please cancel my subscription \n
68GV,Budget Sensitive,"We enjoyed the program, however, we do not feel it is worth that much money per month at this time."
48SA,Content,Not interested since nothing new to learn so cancelling the membership.
84GF,Budget Sensitive,"TOo expensive, not worth monthly subscription price. Kids enjoy other math apps more. Clitches out and kids lose earned points"
47VF,Competitor,I found a better one This one is no longer needed or wanted
60AR,Budget Sensitive,No no no no no no no no no no no no no no no no dont want to pay
99CF,Budget Sensitive,Cost is too much. Not paying sixty dollars. Thanks
67ZS,Budget Sensitive,Let me cancel this stupid game. Im not paying sixty dollars for this. Cancel. Cancel. Cancel.
59HP,Budget Sensitive,I am not paying for this. Let me cancel it. Thank you.
47MQ,No Engagement,Our family does not use this application any longer. It was a good resource when needed. Thank you
14OB,Competitor,This app is no longer needed. We found an alternate. Thank you!
83HP,No Engagement,"My son didn’t want to use the program enough. It was a great program, just didn’t keep his interest."
80JX,Content,Started off too hard for my son and he didn’t like it.
80II,Budget Sensitive,Other apps available free of charge from school. App is greatbut no need for redundancy.
95AZ,Issues,This app is not allowing me to add it to my daughters device so I need to cancel it
86LB,Budget Sensitive,"Too expensive.""......""............................"
42SM,Ignore,Jdjjdjdnejejejeueuenejsjejejshdbdhdbxbxhdhdhdbxbxhxhdhdhdhdhdhdhdhdhxbxbxudhd
12XA,Budget Sensitive,Charlie does not like this game. It is not worth my money. I do not want to pay for it. It's dumb that you require a 50 word explanation as to why someone doesn't want to pay for your app. I am dumbing this down as much as possible to out as many words in this as possible. I think it is stupid
77YT,Ignore,A really good app for those looking to expand their children’s math skills. I highly recommend it because my son has improved his math skills in so little time.
40ZO,Issues,i have gotten charged twice in 10 days the price $29.99. and thats absolutely way too much money gor limited amount of days
59WB,Budget Sensitive,We are not interested in payijg a monthly subscription for an educational ap. We did like the problems and kids had fun. I wouof thibk about making it cheaper for more kids to be abke to aford it.
25YV,Ignore,My son picked the wrong game. He just got the app mixed up and was looking for something else. Thank you!
92EV,Ignore,Thid app was not the one my son wanted and he got confused. Appologies fornthr mixup and thanks for cancelling
69BF,Ignore,Too many subscriptions. Overwhelmed and need fo streamline
81LA,Budget Sensitive,It was too expensive for what you received........
17QH,Content,Voice is too repetitive and she gets frustrated by that.
85FA,Budget Sensitive,I dont want to pay for this app every month.  Too many monthly payments for our household. Thanks for understanding
54JC,Ignore,Not an app that I need at this time. I would like to cancel subscription.
62CC,Budget Sensitive,We don’t use it enough to justify the cost....maybe we’ll you it more next year...\n
68PL,Budget Sensitive,Sadly we Cant afford it. She loved it though. It was lots of fun for her and very educational
33AC,Budget Sensitive,Not interested in paying the STEEP monthly fee for this app.
50VL,Ignore,Hehhdhdhyyxyruuduuduufbrhwyyygggggrbfhhryyyryyyyyygyydfffp
87XN,Content,Not interested.. too likited for my dauggters . Hhdhdhdyuyduuduududhrhhhdhhh
14NA,Content,My child was not very engaged with the Application.
32UX,Ignore,Downloaded app on two different devices in the same family. It will result in double billing.\n\nGreat app!!!
15UE,Budget Sensitive,To expensive ijbojjihigvhigfhigfhigfhigfhiihgfhigfiygfhigvhigviy5fihgvihbvhigvihgvvkjiygfihgvjkvihgfihgvkjvihgvjkbvihgvihhvkjbvihgvjkbvihvkjbvihgvhbv
93XN,School Free App,Get for free at school so we do not need to pay for it
34IY,School Free App,He has math apps that he gets from school that are free to us. Rather then paying for this one. Thanks
49BT,Ignore,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
27CV,Content,Kids dont play with it anymore blah blah blah blah blah
37MR,Budget Sensitive,It is too expensive and i dont want to spend this money on this
85TM,Content,Too expensive and my daughter dosent like it enough to keep playing.
58NT,Content,My boy not interested guuiijgfthujjivff yhiugcfyujjnbjjkjh hbjnn
44PV,No Engagement,My son does not use the app as intended so i will be canceling for nonusage
11HS,No Engagement,Not using very much kkkkkkkmkkkkkmkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
70PI,Budget Sensitive,Can’t afford this app and don’t want to risk it charging me when all I wanna do is help my daughter learn
85GZ,Budget Sensitive,The price is to high for this product. There are many more apps that do the same thing for less money.
14QX,Budget Sensitive,Too much money. I dont have enough money for the subscription of $50
53PH,Budget Sensitive,"Trial over, too expensive for my budget at this time"
68NB,Content,"5th grader has maxed out the content. And since I am typing this: not using Apple’s standard subscription toolkit is consumer-hostile, and to further require a minimum 50 character requirement to continue the cancellation process is insulting."
29RB,Budget Sensitive,Too expensivevvvvvvvvvvvvvvvvvvvvvhghhb.                                         Bbb.      Bbbbbbnnbb
84CA,Budget Sensitive,This app doesnt help my kid and would like to cancel before im charged
33RW,Plan Issues,The length of commitment is too long. Make it month to month.
68BS,Ignore,Videos for help my son gets lost doing work and i homeschool multipke kids
59RZ,School Free App,No longer need splashmath. Use school app instead.
12VQ,School Free App,"Changing to school sponsored app, no longer us Splashmath"
82NQ,Content,Was not appealing to my son so he did not make use of it.
48BG,Ignore,Did it cancel? I can’t tell if it did can you please cancel it
91XJ,Budget Sensitive,Can not afford it\nPlease cancel my subscription now and DO NOT CHARGE MY ACCOUNT. \nThank you
75WE,Budget Sensitive,"Love the app, just don’t have the money for it right now. \n"
46BV,Content,Too hard forchild to do on his own sorry butgood game
78XR,Budget Sensitive,Do not want to pay thr $59.99 per year. If price was significantly lower idconsider it.
90DA,Competitor,Do not use and do not want kids constantly using my phone. They preferred other apps too.
57RK,Ignore,Ancsl cancel cancel cancel cancel cancel cancel cancel
39PF,No Engagement,"My daughter isnt using it, sorry.  I need 50 characters."
42MK,Alternates,"Not using regularly, has been doing on paper. Will help maybe in next grade. Although it’s good but I think next grade he will be happy to take it"
34ZA,Content,Could not adjust grade material easily so son ended up with magerial thatvwas frequently too easy.
38YE,No Engagement,Son doesnt play it. He plays other games. Dont want to be charged for this game.
49YS,Budget Sensitive,Too expensive- she likes to play but other apps are free
29WQ,No Engagement,I don’t have time for this and my kids don’t even like it.   Sssssssssssssssssssssssssssssssssssssssssssssss\n
63GU,Trial,Just wanted to try it out. Thank you...............
68UF,Ignore,Chbv tryfbh thy tyt ytbygrvty g ytu fytu. Y tubthfyf ghu
20US,Budget Sensitive,Too expensive don't want it. Please cancel . Cancel please . Why do I need 50 characters minimum
27EY,No Engagement,The app is no longer needed for my child. Therefore please cancel my subscription.
43CP,Budget Sensitive,I didnt know i had to pay to play this app \nHggffhgcg vhvvf. J. Hvcffffthjn
91SE,Ignore,"Yjngbfhfhfutjyjki,imhnfhdhdhmhmhmh,8ill8lk.egedwdwdsgdhfjfigkgmhntbrfsgfjtjtngj5tj"
89II,Content,my daughter No longer uses this site....................
54AN,No Engagement,"My nephew was using this, and will no longer need it. His mom will be subscribing in the near future"
22EC,No Engagement,"We are not using it, so we do not need a subscription to the app."
13JX,Trial,No autorenew on sub no autorenew on sub no autorenew try only try try try only
41LC,Competitor,He's not still interested in these games and we have already purchased a game which has the same features\n
76JM,Ignore,App was for my grandson who has moved out of state
96YA,Budget Sensitive,Too expensive for a game for an 8 yead old. Lower price
73QU,No Engagement,I am not interested in this program for the person I had the trial offer for
89JK,No Engagement,I am not interested in this program for my grandchild
21II,Time,Just not able to use the app at this time.  Will be happy to sighn back up after the new year.
24PW,Ignore,"mxafde bccbasgaw\nA jhbckvbNslkcnk.snvxilv zdfkvabCakfvlswavngubnxJvnvs\nSdfvisv s \nKirov kunsdfovidliobwrgsemfsJCUFNWLV\n\nSACASCHODCASDLKFBQWIEUDQPFJSALCBAdolaf,sffoivnfa\nDsjlbflvmlamflemanaslvadrlas\nMbsdtlbknsdvbgb.zs knefasskrfj a\nAdrvasvbivbasuslaj\n\n\n\n\n"
45WU,Ignore,Because my kids downloaded this app without having my permission.
